State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Idaho,Lori,Lisa,Lori,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Emily,Emily,Madison,Emily,Hannah,Madison,Madison,Emma,Emma,Emma,Emma,Emma,Olivia,Olivia,Olivia,Emma,Olivia
Illinois,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Ashley,Jessica,Ashley,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Isabella,Olivia,Isabella,Isabella,Sophia,Sophia
Indiana,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Jessica,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Hannah,Hannah,Madison,Madison,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma
Iowa,Mary,Lori,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Madison,Madison,Emma,Emma,Emma,Emma,Emma,Ava,Emma,Ava,Ava,Emma,Emma
Kansas,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Jessica,Ashley,Jessica,Jessica,Ashley,Jessica,Ashley,Ashley,Jessica,Ashley,Madison,Emily,Madison,Madison,Madison,Madison,Emily,Emma,Emma,Emma,Emma,Addison,Emma,Emma,Isabella,Sophia,Emma
Kentucky,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Melissa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Amanda,Amanda,Jessica,Amanda,Ashley,Ashley,Ashley,Ashley,Ashley,Brittany,Brittany,Ashley,Ashley,Ashley,Ashley,Ashley,Hannah,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Emily,Madison,Madison,Madison,Madison,Madison,Emma,Isabella,Emma,Emma
Louisiana,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Brittany,Brittany,Ashley,Ashley,Ashley,Taylor,Taylor,Alexis,Alexis,Alexis,Hannah,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Ava,Ava,Ava,Emma
Maine,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Emma,Emma,Emma,Madison,Emma,Emma,Emma,Emma,Emma
Maryland,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Brittany,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Madison,Emily,Madison,Emily,Madison,Madison,Madison,Madison,Sophia,Sophia,Sophia
Massachusetts,Susan,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Ashley,Jessica,Ashley,Jessica,Sarah,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Ava,Ava,Ava,Olivia,Isabella,Sophia,Emma
Michigan,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Madison,Madison,Emma,Emma,Emma,Ava,Ava,Olivia,Olivia,Sophia,Olivia,Emma
